,Date,ObsTime,Hour,StnPres,SeaPres,Temperature,Td dew point,RH,WS,WD,WSGust,WDGust,Precp,PrecpHour,SunShine,GloblRad,Visb,UVI,Cloud Amount
0,2020/10/1,1,0,1005.6,1009,23.3,19.3,78,2.7,30,8.7,30,0,0,...,0,...,0,...
1,2020/10/1,2,1,1005.5,1008.9,23.3,19.5,79,1.7,30,8.5,360,0,0,...,0,...,0,...
2,2020/10/1,3,2,1005.1,1008.5,23.3,19.5,79,1.9,30,7.7,20,0,0,...,0,...,0,...
3,2020/10/1,4,3,1005.4,1008.8,23.4,19.8,80,2.5,40,7.4,70,0,0,...,0,...,0,...
4,2020/10/1,5,4,1006,1009.4,23.2,19.5,80,1,40,8.2,20,0,0,...,0,20,0,1
5,2020/10/1,6,5,1006.5,1009.9,23.6,19.4,77,1.9,50,5.2,50,0,0,0,0,...,0,...
6,2020/10/1,7,6,1007.1,1010.5,24.1,19.4,75,2,40,6.5,60,0,0,0,0.07,...,0,...
7,2020/10/1,8,7,1007.7,1011,25,18.7,68,2.6,10,9.4,10,0,0,0.1,0.64,20,1,7
8,2020/10/1,9,8,1008.3,1011.6,26.6,18.2,60,3.2,20,9.9,50,0,0,0.8,1.55,25,3,1
9,2020/10/1,10,9,1008.3,1011.6,27.3,16,50,3.7,10,9.8,360,0,0,1,2.38,...,5,...
10,2020/10/1,11,10,1008,1011.3,27.6,17.4,54,4,360,9.8,50,0,0,1,2.94,20,8,1
11,2020/10/1,12,11,1006.9,1010.2,28.2,17.5,52,4.4,10,10.4,10,0,0,1,3,...,9,...
12,2020/10/1,13,12,1006,1009.3,28.9,16.1,46,4.1,60,9.4,30,0,0,1,3,...,9,...
13,2020/10/1,14,13,1005.4,1008.7,29.3,16.9,47,3.3,60,9.1,70,0,0,1,2.61,20,7,0
14,2020/10/1,15,14,1004.9,1008.2,29.2,16.8,47,2.6,60,10.2,50,0,0,1,2.09,...,4,...
15,2020/10/1,16,15,1005.1,1008.4,28.7,18.2,53,2.8,20,7.9,50,0,0,1,1.39,...,2,...
16,2020/10/1,17,16,1005.1,1008.4,27.4,19.3,61,2.4,50,8.6,360,0,0,0.9,0.58,20,0,0
17,2020/10/1,18,17,1005.6,1008.9,25.9,19.6,68,2.3,10,5.5,40,0,0,0,0,...,0,...
18,2020/10/1,19,18,1006.5,1009.8,25.3,19.6,71,1.9,30,4.6,360,0,0,0,0,...,0,...
19,2020/10/1,20,19,1007.1,1010.4,24.9,19.5,72,1.2,40,4.5,360,0,0,...,0,20,0,0
20,2020/10/1,21,20,1007.4,1010.7,24.5,19.8,75,2.2,70,4.8,50,0,0,...,0,20,0,0
21,2020/10/1,22,21,1007.5,1010.9,24,20,78,0.5,50,3.7,50,0,0,...,0,...,0,...
22,2020/10/1,23,22,1007.5,1010.9,23.9,19.8,78,0.9,40,2.3,10,0,0,...,0,...,0,...
23,2020/10/1,24,23,1007.6,1011,23.7,19.9,79,0.4,10,2.2,30,0,0,...,0,...,0,...
0,2020/10/2,1,0,1007.5,1010.9,23.3,19.8,81,0.1,0,1.9,220,0,0,...,0,...,0,...
1,2020/10/2,2,1,1007.1,1010.5,22.7,20,85,0.2,0,1.7,120,0,0,...,0,...,0,...
